Date,btc,oil,ethereum,euro,gold,tether,dow,sp,nasdaq,tenyear,btc_ytd,btc_change_ytd,oil_ytd,oil_change_ytd,ethereum_ytd,ethereum_change_ytd,euro_ytd,euro_change_ytd,gold_ytd,gold_change_ytd,tether_ytd,tether_change_ytd,dow_ytd,dow_change_ytd,sp_ytd,sp_change_ytd,nasdaq_ytd,nasdaq_change_ytd,tenyear_ytd,tenyear_change_ytd,btc_tmr,btc_change_tmr,oil_tmr,oil_change_tmr,ethereum_tmr,ethereum_change_tmr,euro_tmr,euro_change_tmr,gold_tmr,gold_change_tmr,tether_tmr,tether_change_tmr,dow_tmr,dow_change_tmr,sp_tmr,sp_change_tmr,nasdaq_tmr,nasdaq_change_tmr,tenyear_tmr,tenyear_change_tmr
2018-05-17,8094.31982421875,71.48999786376953,672.656982421875,1.1816978454589844,1288.199951171875,1.000190019607544,24713.98046875,2720.1298828125,7382.47021484375,3.1089999675750732,8368.830078125,0,71.48999786376953,0,707.0499877929688,0,1.1820889711380005,0,1290.199951171875,0,0.9999499917030334,1,24768.9296875,0,2722.4599609375,0,7398.2998046875,0,3.0950000286102295,1,8250.9697265625,1,71.27999877929688,0,694.3670043945312,1,1.1795234680175781,0,1290.199951171875,1,1.0011099576950073,1,24715.08984375,1,2712.969970703125,0,7354.33984375,0,3.066999912261963,0
2018-05-18,8250.9697265625,71.27999877929688,694.3670043945312,1.1795234680175781,1290.199951171875,1.0011099576950073,24715.08984375,2712.969970703125,7354.33984375,3.066999912261963,8094.31982421875,1,71.48999786376953,0,672.656982421875,1,1.1816978454589844,0,1288.199951171875,1,1.000190019607544,1,24713.98046875,1,2720.1298828125,0,7382.47021484375,0,3.1089999675750732,0,8247.1796875,0,,0,696.530029296875,1,,0,,0,1.0003600120544434,0,,0,,0,,0,,0
2018-05-19,8247.1796875,,696.530029296875,,,1.0003600120544434,,,,,8250.9697265625,0,71.27999877929688,0,694.3670043945312,1,1.1795234680175781,0,1290.199951171875,0,1.0011099576950073,0,24715.08984375,0,2712.969970703125,0,7354.33984375,0,3.066999912261963,0,8513.25,1,,0,715.3690185546875,1,,0,,0,0.9991170167922974,0,,0,,0,,0,,0
2018-05-20,8513.25,,715.3690185546875,,,0.9991170167922974,,,,,8247.1796875,1,,0,696.530029296875,1,,0,,0,1.0003600120544434,0,,0,,0,,0,,0,8418.990234375,0,72.23999786376953,0,699.2219848632812,0,1.1766643524169922,0,1290.199951171875,0,1.0029699802398682,1,25013.2890625,0,2733.010009765625,0,7394.0400390625,0,3.065000057220459,0
2018-05-21,8418.990234375,72.23999786376953,699.2219848632812,1.1766643524169922,1290.199951171875,1.0029699802398682,25013.2890625,2733.010009765625,7394.0400390625,3.065000057220459,8513.25,0,,0,715.3690185546875,0,,0,,0,0.9991170167922974,1,,0,,0,,0,,0,8041.77978515625,0,72.12999725341797,0,647.7410278320312,0,1.1792453527450562,1,1291.699951171875,1,1.0029699802398682,0,24834.41015625,0,2724.43994140625,0,7378.4599609375,0,3.065000057220459,0
2018-05-22,8041.77978515625,72.12999725341797,647.7410278320312,1.1792453527450562,1291.699951171875,1.0029699802398682,24834.41015625,2724.43994140625,7378.4599609375,3.065000057220459,8418.990234375,0,72.23999786376953,0,699.2219848632812,0,1.1766643524169922,1,1290.199951171875,1,1.0029699802398682,0,25013.2890625,0,2733.010009765625,0,7394.0400390625,0,3.065000057220459,0,7557.81982421875,0,71.83999633789062,0,583.5850219726562,0,1.1788560152053833,0,1289.300048828125,0,1.0040199756622314,1,24886.810546875,1,2733.2900390625,1,7425.9599609375,1,3.003000020980835,0
2018-05-23,7557.81982421875,71.83999633789062,583.5850219726562,1.1788560152053833,1289.300048828125,1.0040199756622314,24886.810546875,2733.2900390625,7425.9599609375,3.003000020980835,8041.77978515625,0,72.12999725341797,0,647.7410278320312,0,1.1792453527450562,0,1291.699951171875,0,1.0029699802398682,1,24834.41015625,1,2724.43994140625,1,7378.4599609375,1,3.065000057220459,0,7587.33984375,1,70.70999908447266,0,601.7550048828125,1,1.1710150241851807,0,1303.699951171875,1,0.9988179802894592,0,24811.759765625,0,2727.760009765625,0,7424.43017578125,0,2.9809999465942383,0
2018-05-24,7587.33984375,70.70999908447266,601.7550048828125,1.1710150241851807,1303.699951171875,0.9988179802894592,24811.759765625,2727.760009765625,7424.43017578125,2.9809999465942383,7557.81982421875,1,71.83999633789062,0,583.5850219726562,1,1.1788560152053833,0,1289.300048828125,1,1.0040199756622314,0,24886.810546875,0,2733.2900390625,0,7425.9599609375,0,3.003000020980835,0,7480.14013671875,0,67.87999725341797,0,586.7340087890625,0,1.1722642183303833,1,1303.300048828125,0,1.000440001487732,1,24753.08984375,0,2721.330078125,0,7433.85009765625,1,2.930999994277954,0
2018-05-25,7480.14013671875,67.87999725341797,586.7340087890625,1.1722642183303833,1303.300048828125,1.000440001487732,24753.08984375,2721.330078125,7433.85009765625,2.930999994277954,7587.33984375,0,70.70999908447266,0,601.7550048828125,0,1.1710150241851807,1,1303.699951171875,0,0.9988179802894592,1,24811.759765625,0,2727.760009765625,0,7424.43017578125,1,2.9809999465942383,0,7355.8798828125,0,,0,587.280029296875,1,,0,,0,0.9998900294303894,0,,0,,0,,0,,0
2018-05-26,7355.8798828125,,587.280029296875,,,0.9998900294303894,,,,,7480.14013671875,0,67.87999725341797,0,586.7340087890625,1,1.1722642183303833,0,1303.300048828125,0,1.000440001487732,0,24753.08984375,0,2721.330078125,0,7433.85009765625,0,2.930999994277954,0,7368.22021484375,1,,0,572.6680297851562,0,,0,,0,0.9991819858551025,0,,0,,0,,0,,0
2018-05-27,7368.22021484375,,572.6680297851562,,,0.9991819858551025,,,,,7355.8798828125,1,,0,587.280029296875,0,,0,,0,0.9998900294303894,0,,0,,0,,0,,0,7135.990234375,0,,0,516.0360107421875,0,1.1688934564590454,0,,0,1.0024900436401367,1,,0,,0,,0,,0
2018-05-28,7135.990234375,,516.0360107421875,1.1688934564590454,,1.0024900436401367,,,,,7368.22021484375,0,,0,572.6680297851562,0,,0,,0,0.9991819858551025,1,,0,,0,,0,,0,7472.58984375,1,66.7300033569336,0,565.3880004882812,1,1.162696123123169,0,1298.699951171875,0,1.0006799697875977,0,24361.44921875,0,2689.860107421875,0,7396.58984375,0,2.7679998874664307,0
2018-05-29,7472.58984375,66.7300033569336,565.3880004882812,1.162696123123169,1298.699951171875,1.0006799697875977,24361.44921875,2689.860107421875,7396.58984375,2.7679998874664307,7135.990234375,1,,0,516.0360107421875,1,1.1688934564590454,0,,0,1.0024900436401367,0,,0,,0,,0,,0,7406.52001953125,0,68.20999908447266,1,559.5900268554688,0,1.1539349555969238,0,1301.5,1,0.9997270107269287,0,24667.779296875,1,2724.010009765625,1,7462.4501953125,1,2.8420000076293945,1
2018-05-30,7406.52001953125,68.20999908447266,559.5900268554688,1.1539349555969238,1301.5,0.9997270107269287,24667.779296875,2724.010009765625,7462.4501953125,2.8420000076293945,7472.58984375,0,66.7300033569336,1,565.3880004882812,0,1.162696123123169,0,1298.699951171875,1,1.0006799697875977,0,24361.44921875,1,2689.860107421875,1,7396.58984375,1,2.7679998874664307,1,7494.169921875,1,67.04000091552734,0,577.64501953125,1,1.1667250394821167,1,1300.0999755859375,0,0.9980030059814453,0,24415.83984375,0,2705.27001953125,0,7442.1201171875,0,2.822000026702881,0
2018-05-31,7494.169921875,67.04000091552734,577.64501953125,1.1667250394821167,1300.0999755859375,0.9980030059814453,24415.83984375,2705.27001953125,7442.1201171875,2.822000026702881,7406.52001953125,1,68.20999908447266,0,559.5900268554688,1,1.1539349555969238,1,1301.5,0,0.9997270107269287,0,24667.779296875,0,2724.010009765625,0,7462.4501953125,0,2.8420000076293945,0,7541.4501953125,1,65.80999755859375,0,580.0430297851562,1,1.1693171262741089,1,1294.800048828125,0,1.0009900331497192,1,24635.2109375,1,2734.6201171875,1,7554.330078125,1,2.8949999809265137,1
2018-06-01,7541.4501953125,65.80999755859375,580.0430297851562,1.1693171262741089,1294.800048828125,1.0009900331497192,24635.2109375,2734.6201171875,7554.330078125,2.8949999809265137,7494.169921875,1,67.04000091552734,0,577.64501953125,1,1.1667250394821167,1,1300.0999755859375,0,0.9980030059814453,1,24415.83984375,1,2705.27001953125,1,7442.1201171875,1,2.822000026702881,1,7643.4501953125,1,,0,591.8079833984375,1,,0,,0,0.9935299754142761,0,,0,,0,,0,,0
2018-06-02,7643.4501953125,,591.8079833984375,,,0.9935299754142761,,,,,7541.4501953125,1,65.80999755859375,0,580.0430297851562,1,1.1693171262741089,0,1294.800048828125,0,1.0009900331497192,0,24635.2109375,0,2734.6201171875,0,7554.330078125,0,2.8949999809265137,0,7720.25,1,,0,618.3289794921875,1,,0,,0,1.000100016593933,1,,0,,0,,0,,0
2018-06-03,7720.25,,618.3289794921875,,,1.000100016593933,,,,,7643.4501953125,1,,0,591.8079833984375,1,,0,,0,0.9935299754142761,1,,0,,0,,0,,0,7514.47021484375,0,64.75,0,592.9849853515625,0,1.1668611764907837,0,1293.0999755859375,0,1.0005199909210205,1,24813.689453125,0,2746.8701171875,0,7606.4599609375,0,2.937000036239624,0
2018-06-04,7514.47021484375,64.75,592.9849853515625,1.1668611764907837,1293.0999755859375,1.0005199909210205,24813.689453125,2746.8701171875,7606.4599609375,2.937000036239624,7720.25,0,,0,618.3289794921875,0,,0,,0,1.000100016593933,1,,0,,0,,0,,0,7633.759765625,1,65.5199966430664,1,609.302978515625,1,1.1700559854507446,1,1297.5,1,1.0010199546813965,1,24799.98046875,0,2748.800048828125,1,7637.85986328125,1,2.9189999103546143,0
2018-06-05,7633.759765625,65.5199966430664,609.302978515625,1.1700559854507446,1297.5,1.0010199546813965,24799.98046875,2748.800048828125,7637.85986328125,2.9189999103546143,7514.47021484375,1,64.75,1,592.9849853515625,1,1.1668611764907837,1,1293.0999755859375,1,1.0005199909210205,1,24813.689453125,0,2746.8701171875,1,7606.4599609375,1,2.937000036239624,0,7653.97998046875,1,64.7300033569336,0,607.1240234375,0,1.1726216077804565,1,1297.0999755859375,0,1.00068998336792,0,25146.390625,1,2772.35009765625,1,7689.240234375,1,2.9749999046325684,1
2018-06-06,7653.97998046875,64.7300033569336,607.1240234375,1.1726216077804565,1297.0999755859375,1.00068998336792,25146.390625,2772.35009765625,7689.240234375,2.9749999046325684,7633.759765625,1,65.5199966430664,0,609.302978515625,0,1.1700559854507446,1,1297.5,0,1.0010199546813965,0,24799.98046875,1,2748.800048828125,1,7637.85986328125,1,2.9189999103546143,1,7678.240234375,1,65.94999694824219,1,605.18701171875,0,1.178550362586975,1,1298.699951171875,1,0.9987499713897705,0,25241.41015625,1,2770.3701171875,0,7635.06982421875,0,2.933000087738037,0
2018-06-07,7678.240234375,65.94999694824219,605.18701171875,1.178550362586975,1298.699951171875,0.9987499713897705,25241.41015625,2770.3701171875,7635.06982421875,2.933000087738037,7653.97998046875,1,64.7300033569336,1,607.1240234375,0,1.1726216077804565,1,1297.0999755859375,1,1.00068998336792,0,25146.390625,1,2772.35009765625,0,7689.240234375,0,2.9749999046325684,0,7624.919921875,0,65.73999786376953,0,601.0770263671875,0,1.1795234680175781,1,1298.0999755859375,0,1.0017900466918945,1,25316.529296875,1,2779.030029296875,1,7645.509765625,1,2.937000036239624,1
2018-06-08,7624.919921875,65.73999786376953,601.0770263671875,1.1795234680175781,1298.0999755859375,1.0017900466918945,25316.529296875,2779.030029296875,7645.509765625,2.937000036239624,7678.240234375,0,65.94999694824219,0,605.18701171875,0,1.178550362586975,1,1298.699951171875,0,0.9987499713897705,1,25241.41015625,1,2770.3701171875,1,7635.06982421875,1,2.933000087738037,1,7531.97998046875,0,,0,597.56201171875,0,,0,,0,1.0060800313949585,1,,0,,0,,0,,0
2018-06-09,7531.97998046875,,597.56201171875,,,1.0060800313949585,,,,,7624.919921875,0,65.73999786376953,0,601.0770263671875,0,1.1795234680175781,0,1298.0999755859375,0,1.0017900466918945,1,25316.529296875,0,2779.030029296875,0,7645.509765625,0,2.937000036239624,0,6786.02001953125,0,,0,526.47900390625,0,,0,,0,0.9982150197029114,0,,0,,0,,0,,0
2018-06-10,6786.02001953125,,526.47900390625,,,0.9982150197029114,,,,,7531.97998046875,0,,0,597.56201171875,0,,0,,0,1.0060800313949585,0,,0,,0,,0,,0,6906.919921875,1,66.0999984741211,0,533.2839965820312,1,1.1783976554870605,0,1298.9000244140625,0,1.0019299983978271,1,25322.310546875,0,2782.0,0,7659.93017578125,0,2.9570000171661377,0
